variant,model,stream,seed,accuracy,n_drift_events,mean_detection_delay,false_positive_rate,miss_rate
Full,sgd_logistic,sea,42,0.7693257331848145,0,,0.0,1.0
Full,sgd_logistic,sea,1337,0.7638155817985535,0,,0.0,1.0
Full,sgd_logistic,sea,2024,0.7583972215652466,0,,0.0,1.0
Full,sgd_logistic,hyperplane,42,0.8248668313026428,0,,0.0,1.0
Full,sgd_logistic,hyperplane,1337,0.817334771156311,1,,1.0,1.0
Full,sgd_logistic,hyperplane,2024,0.8160018920898438,0,,0.0,1.0
noCooldown,sgd_logistic,sea,42,0.7693257331848145,0,,0.0,1.0
noCooldown,sgd_logistic,sea,1337,0.7638155817985535,0,,0.0,1.0
noCooldown,sgd_logistic,sea,2024,0.7583972215652466,0,,0.0,1.0
noCooldown,sgd_logistic,hyperplane,42,0.8248668313026428,0,,0.0,1.0
noCooldown,sgd_logistic,hyperplane,1337,0.8162022829055786,2,,1.0,1.0
noCooldown,sgd_logistic,hyperplane,2024,0.8160018920898438,0,,0.0,1.0
noConsensus,sgd_logistic,sea,42,0.7693257331848145,0,,0.0,1.0
noConsensus,sgd_logistic,sea,1337,0.7638155817985535,0,,0.0,1.0
noConsensus,sgd_logistic,sea,2024,0.7583972215652466,0,,0.0,1.0
noConsensus,sgd_logistic,hyperplane,42,0.8234866261482239,1,,1.0,1.0
noConsensus,sgd_logistic,hyperplane,1337,0.817334771156311,1,,1.0,1.0
noConsensus,sgd_logistic,hyperplane,2024,0.8160018920898438,0,,0.0,1.0
noOverride,sgd_logistic,sea,42,0.7693257331848145,0,,0.0,1.0
noOverride,sgd_logistic,sea,1337,0.7638155817985535,0,,0.0,1.0
noOverride,sgd_logistic,sea,2024,0.7583972215652466,0,,0.0,1.0
noOverride,sgd_logistic,hyperplane,42,0.8248668313026428,0,,0.0,1.0
noOverride,sgd_logistic,hyperplane,1337,0.817334771156311,1,,1.0,1.0
noOverride,sgd_logistic,hyperplane,2024,0.8160018920898438,0,,0.0,1.0
