model,detector,stream,seed,accuracy,retrains,n_drift_events,throughput_samples_per_s,elapsed_s,latency_p50_us,latency_p95_us,latency_p99_us,latency_mean_us,true_drifts,true_positives,false_positives,missed,mean_detection_delay,false_positive_rate,miss_rate
sgd_logistic,adwin,elec2,42,0.9375186562538147,1,1,585.7474165117767,13.657764036999652,234.5495,694.5414499999995,1446.3509300000078,322.46078166666666,,,,,,,
sgd_logistic,adwin,elec2,1337,0.9375186562538147,1,1,551.0711304609689,14.517182188999868,238.817,769.4527999999999,1737.887170000004,344.56470102564106,,,,,,,
sgd_logistic,adwin,sea,42,0.7693257331848145,0,0,515.166347684398,15.528964646000077,243.50650000000002,842.625399999998,2309.7928500000053,369.5492114102564,3.0,0.0,0.0,3.0,,0.0,1.0
sgd_logistic,adwin,sea,1337,0.7638155817985535,0,0,491.2018340212183,16.28658414099982,244.543,868.453299999999,2532.841710000005,383.2190558974359,3.0,0.0,0.0,3.0,,0.0,1.0
sgd_logistic,adwin,hyperplane,42,0.8248668313026428,0,0,500.0165954258046,15.999468963999789,241.7245,895.2396499999973,2488.708200000008,380.1188226923077,2.0,0.0,0.0,2.0,,0.0,1.0
sgd_logistic,adwin,hyperplane,1337,0.8187268972396851,0,0,454.9964173161229,17.582556028,282.86749999999995,879.5822999999996,2419.64260000001,414.88768910256414,2.0,0.0,0.0,2.0,,0.0,1.0
sgd_logistic,ddm,elec2,42,0.9335671067237854,9,9,487.73042189579627,16.402503598000294,278.091,855.7014499999993,1962.9054500000027,386.8724979487179,,,,,,,
sgd_logistic,ddm,elec2,1337,0.9335671067237854,9,9,837.3563577878422,9.553877420999925,169.005,419.0371999999996,731.3851600000036,223.79368820512823,,,,,,,
sgd_logistic,ddm,sea,42,0.7693257331848145,0,0,949.9057949510411,8.42188777299998,158.82299999999998,375.7800999999998,624.4171000000001,197.59286076923078,3.0,0.0,0.0,3.0,,0.0,1.0
sgd_logistic,ddm,sea,1337,0.7638155817985535,0,0,801.2820711856706,9.983999752000273,169.23250000000002,464.88994999999977,855.8145900000002,231.78423423076924,3.0,0.0,0.0,3.0,,0.0,1.0
sgd_logistic,ddm,hyperplane,42,0.8234866261482239,1,1,907.2016983576283,8.818325642999753,162.7865,404.6265499999999,698.2298400000011,207.7460673076923,2.0,0.0,1.0,2.0,,1.0,1.0
sgd_logistic,ddm,hyperplane,1337,0.817334771156311,1,1,924.0188845246355,8.657831710999744,159.39499999999998,408.0709499999993,715.7145900000004,204.57730679487176,2.0,0.0,1.0,2.0,,1.0,1.0
sgd_logistic,eddm,elec2,42,0.9286393523216248,7,7,968.5714981864487,8.259586427000158,157.149,379.51779999999985,631.200980000001,194.4342514102564,,,,,,,
sgd_logistic,eddm,elec2,1337,0.9286393523216248,7,7,834.3204808158714,9.588641515999825,165.0165,431.4220999999999,808.2557400000012,227.3343774358974,,,,,,,
sgd_logistic,eddm,sea,42,0.7513729333877563,18,18,949.6071236325158,8.424536633000116,160.8615,384.45829999999995,701.6197000000005,200.68667512820514,3.0,1.0,17.0,2.0,197.0,0.9444444444444444,0.6666666666666666
sgd_logistic,eddm,sea,1337,0.7549774050712585,4,4,855.6416353299146,9.349708651000128,173.5015,422.20404999999994,760.5608900000008,220.53899987179489,3.0,1.0,3.0,2.0,95.0,0.75,0.6666666666666666
sgd_logistic,eddm,hyperplane,42,0.7960902452468872,18,18,842.6744750411642,9.493582915999923,173.046,429.7131999999996,789.1984600000013,225.3718305128205,2.0,2.0,16.0,0.0,528.5,0.8888888888888888,0.0
sgd_logistic,eddm,hyperplane,1337,0.8149592876434326,2,2,861.8215576292739,9.28266406099965,165.4925,422.9414499999999,784.8975300000009,216.97455602564102,2.0,0.0,2.0,2.0,,1.0,1.0
sgd_logistic,kswin,elec2,42,0.910571277141571,77,77,926.0576641667853,8.638770899000065,162.3015,380.51624999999956,647.1795700000005,199.44744730769233,,,,,,,
sgd_logistic,kswin,elec2,1337,0.910571277141571,77,77,948.8348073314297,8.43139389299995,156.392,368.15535,654.2467600000008,193.03987012820517,,,,,,,
sgd_logistic,kswin,sea,42,0.7585651874542236,11,11,660.8066638441362,12.10641544300006,163.9525,382.14454999999964,641.22901,204.5005853846154,3.0,3.0,8.0,0.0,295.6666666666667,0.7272727272727273,0.0
sgd_logistic,kswin,sea,1337,0.7469876408576965,11,11,548.3299056665501,14.589756854999905,181.204,470.9328499999997,906.4427400000008,247.8738617948718,3.0,3.0,8.0,0.0,205.33333333333334,0.7272727272727273,0.0
sgd_logistic,kswin,hyperplane,42,0.8084801435470581,9,9,507.77051582053224,15.755148734999693,199.96499999999997,507.2184999999996,1151.2676400000005,262.9837067948718,2.0,1.0,8.0,1.0,256.0,0.8888888888888888,0.5
sgd_logistic,kswin,hyperplane,1337,0.8032728433609009,12,12,558.8430944263176,14.315288280000004,180.2945,470.62954999999977,945.6315600000004,240.46762076923073,2.0,1.0,11.0,1.0,558.0,0.9166666666666666,0.5
sgd_logistic,page_hinkley,elec2,42,0.9358791708946228,1,1,734.4983812733389,10.891787108000244,188.696,516.6762499999999,1122.7322800000002,254.876701025641,,,,,,,
sgd_logistic,page_hinkley,elec2,1337,0.9358791708946228,1,1,725.9915457043164,11.019412067999838,201.381,513.3033499999999,1171.0411300000048,262.99134294871794,,,,,,,
sgd_logistic,page_hinkley,sea,42,0.7626646161079407,1,1,830.9563917498683,9.627460694000092,165.4665,448.61659999999983,1006.6973900000019,228.9804326923077,3.0,1.0,0.0,2.0,925.0,0.0,0.6666666666666666
sgd_logistic,page_hinkley,sea,1337,0.7573963403701782,2,2,708.0336613055277,11.298897830999977,186.78199999999998,526.3563499999991,1259.0359700000047,269.1636080769231,3.0,1.0,1.0,2.0,159.0,0.5,0.6666666666666666
sgd_logistic,page_hinkley,hyperplane,42,0.8248668313026428,0,0,731.2626840123435,10.939981178999915,194.888,514.0209999999995,1075.8673400000007,253.76895897435895,2.0,0.0,0.0,2.0,,0.0,1.0
sgd_logistic,page_hinkley,hyperplane,1337,0.8187268972396851,0,0,815.6616276399905,9.807988667000245,168.5035,443.7820499999998,940.0022500000014,229.35752333333335,2.0,0.0,0.0,2.0,,0.0,1.0
sgd_logistic,hybrid,elec2,42,0.9356281161308289,1,1,773.139723006139,10.347418146999644,175.3905,465.7494999999997,986.7211700000014,239.7425644871795,,,,,,,
sgd_logistic,hybrid,elec2,1337,0.9356281161308289,1,1,697.0332588226679,11.47721417699995,191.52300000000002,533.1948499999999,1082.9504000000031,262.76633641025643,,,,,,,
sgd_logistic,hybrid,sea,42,0.7693257331848145,0,0,560.174446372319,14.281265508999695,177.4795,460.2530999999998,916.9138800000013,237.31825333333333,3.0,0.0,0.0,3.0,,0.0,1.0
sgd_logistic,hybrid,sea,1337,0.7638155817985535,0,0,508.9669306506129,15.718113532000189,199.365,521.0715499999991,1130.4367000000045,267.42390782051285,3.0,0.0,0.0,3.0,,0.0,1.0
sgd_logistic,hybrid,hyperplane,42,0.8248668313026428,0,0,494.2512205662892,16.186100644999897,193.9405,503.61354999999946,1128.9909400000017,266.15932012820514,2.0,0.0,0.0,2.0,,0.0,1.0
sgd_logistic,hybrid,hyperplane,1337,0.817334771156311,1,1,536.2735106299103,14.917760883999563,180.4335,487.72765,1059.8472300000021,250.05818756410255,2.0,0.0,1.0,2.0,,1.0,1.0
