consensus_window,confidence_threshold,model,stream,seed,accuracy,false_positive_rate,mean_detection_delay,composite
100,0.25,sgd_logistic,sea,42,0.7554044127464294,1.0,,0.0
100,0.25,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
100,0.25,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
100,0.25,sgd_logistic,hyperplane,1337,0.8242511749267578,0.0,,0.5242511749267578
100,0.3,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
100,0.3,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
100,0.3,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
100,0.3,sgd_logistic,hyperplane,1337,0.8242511749267578,0.0,,0.5242511749267578
100,0.35,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
100,0.35,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
100,0.35,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
100,0.35,sgd_logistic,hyperplane,1337,0.8242511749267578,0.0,,0.5242511749267578
100,0.4,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
100,0.4,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
100,0.4,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
100,0.4,sgd_logistic,hyperplane,1337,0.8242511749267578,0.0,,0.5242511749267578
100,0.45,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
100,0.45,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
100,0.45,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
100,0.45,sgd_logistic,hyperplane,1337,0.8242511749267578,0.0,,0.5242511749267578
150,0.25,sgd_logistic,sea,42,0.7554044127464294,1.0,,0.0
150,0.25,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
150,0.25,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
150,0.25,sgd_logistic,hyperplane,1337,0.8186782598495483,1.0,,0.0
150,0.3,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
150,0.3,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
150,0.3,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
150,0.3,sgd_logistic,hyperplane,1337,0.8186782598495483,1.0,,0.0
150,0.35,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
150,0.35,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
150,0.35,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
150,0.35,sgd_logistic,hyperplane,1337,0.8186782598495483,1.0,,0.0
150,0.4,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
150,0.4,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
150,0.4,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
150,0.4,sgd_logistic,hyperplane,1337,0.8186782598495483,1.0,,0.0
150,0.45,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
150,0.45,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
150,0.45,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
150,0.45,sgd_logistic,hyperplane,1337,0.8186782598495483,1.0,,0.0
200,0.25,sgd_logistic,sea,42,0.7554044127464294,1.0,,0.0
200,0.25,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
200,0.25,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
200,0.25,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
200,0.3,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
200,0.3,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
200,0.3,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
200,0.3,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
200,0.35,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
200,0.35,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
200,0.35,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
200,0.35,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
200,0.4,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
200,0.4,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
200,0.4,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
200,0.4,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
200,0.45,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
200,0.45,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
200,0.45,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
200,0.45,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
250,0.25,sgd_logistic,sea,42,0.7554044127464294,1.0,,0.0
250,0.25,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
250,0.25,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
250,0.25,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
250,0.3,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
250,0.3,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
250,0.3,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
250,0.3,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
250,0.35,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
250,0.35,sgd_logistic,sea,1337,0.7525088787078857,0.0,,0.45250887870788575
250,0.35,sgd_logistic,hyperplane,42,0.8100730776786804,0.0,,0.5100730776786804
250,0.35,sgd_logistic,hyperplane,1337,0.8227578997612,1.0,,0.0
250,0.4,sgd_logistic,sea,42,0.7569813132286072,0.0,,0.4569813132286072
